ENTITETI;KRAJ;RAZRED;SPOL;ATV;ATT;AOP;ANN;MKUS;MPOL;MP20;MPRR;MTAP;MSDM;MDTR;MVIS
83;Gore;I;Z;130;28;20;10;162;220;90;55;19;130;12;47
84;Gore;I;Z;123;22;18,5;10;182;330;90;55;12;140;13;35
85;Gore;I;Z;122;21;18;10;142;251;90;55;14;140;32;51
86;Gore;I;Z;124;24;18;14;174;325;90;60;14;100;5;8
87;Gore;I;Z;124;22;18;10;138;310;90;68;14;100;21;18
88;Gore;I;Z;125;29;19,8;19;226;479;50;56;15;90;19;23
89;Gore;I;Z;122,5;23;17;9;238;325;90;48;16;81;28;21
90;Gore;I;M;124,5;24,5;18;8;330;349;80;41;18;84;16;18
91;Gore;I;M;136;33;21;15;240;310;90;42;17;105;28;21
92;Gore;I;M;130,5;27;18;10;268;329;41;43;19;90;27;16
93;Gore;I;M;131;32;21;13;160;330;36;47;17;102;12;29
94;Gore;I;M;126;27;18,5;15;180;373;90;43;14;79;24;6
95;Gore;I;M;131;24;16;9;230;320;23;22;16;86;18;12
96;Gore;I;M;124;24;16;9;330;273;80;44;17;72;12;27
97;Gore;I;M;125,5;26;18,5;11;158;183;25;50;21;95;27;14
98;Gore;I;M;120;22;16;8;162;251;90;38;16;70;25;10
99;Gore;I;M;121;24,5;17;9;238;330;90;34;18;86;29;14
100;Gore;II;Z;135;31,5;20;14;172;290;55;44;24;115;26;13
101;Gore;II;Z;125,5;24;17;10;172;226;90;39;23;110;34;35
102;Gore;II;Z;125,5;24,4;17;11;158;350;65;32;19;78;28;19
103;Gore;II;Z;130,5;29,5;18,5;17;155;310;90;32;20;95;27;12
104;Gore;II;Z;121;24;18;11;149;260;20;62;11;100;13;32
105;Gore;II;Z;137;34;21,5;20;163;230;90;80;26;120;16;10
106;Gore;II;Z;127;25;19;16;145;290;40;53;18;110;8;10
107;Gore;II;Z;135;31;20;15;142;250;90;80;19;150;15;18
108;Gore;II;Z;129;24;18;14;143;320;35;35;14;100;8;10
109;Gore;II;Z;126;29;20;13;149;330;90;80;21;120;15;10
110;Gore;II;M;123,5;24,5;18;10;240;326;90;42;20;95;23;41
111;Gore;II;M;135;34,5;21;15;294;327;35;26;16;80;22;17
112;Gore;II;M;127;30,5;20;10;243;265;90;37;17;120;26;15
113;Gore;II;M;123,5;25;18;8;290;365;37;32;14;85;21;14
114;Gore;II;M;136;32,5;19;13;140;241;32;40;22;120;30;19
115;Gore;II;M;140,5;40,5;22;20;181;392;15;45;17;120;24;16
116;Gore;II;M;124;23;18;9;147;150;90;50;27;150;29;54
117;Gore;II;M;133;29;20,5;12;134;164;90;65;25;130;10;58
118;Gore;II;M;132;30;21;10;148;200;90;36;21;160;19;32
119;Gore;II;M;119;24;18,7;10;129;180;18;43;21;100;23;41
120;Gore;III;Z;133;30;20;13;165;370;60;55;20;110;28;26
121;Gore;III;Z;139;36;20,5;19;156;302;90;49;15;110;16;25
122;Gore;III;Z;137;32;20;14;171;316;90;62;22;130;25;0
123;Gore;III;Z;127;25;18;9;152;183;25;40;23;140;33;71
124;Gore;III;Z;128;26;18,5;12;158;302;90;49;17;100;23;21
125;Gore;III;Z;138,5;32;19;10;140;149;90;63;26;140;21;45
126;Gore;III;Z;142;38;20;11;150;375;90;71;24;120;9;10
127;Gore;III;Z;138;30;19;12;149;257;90;50;21;120;12;15
128;Gore;III;Z;143,5;38;23;19;167;259;90;60;21;130;21;20
129;Gore;III;Z;131;29;19,5;13;149;299;90;37;22;90;12;15
130;Gore;III;M;125;25;18,5;10;147;209;46;65;17;100;23;25
131;Gore;III;M;145;34;20;9;138;196;15;57;17;140;28;36
132;Gore;III;M;131;27;19;8;130;183;90;45;21;140;19;67
133;Gore;III;M;138;35;21;14;144;301;55;43;20;140;27;19
134;Gore;III;M;121,5;23;17;8;141;180;90;30;19;140;32;15
135;Gore;III;M;128,5;26;19,5;7;139;192;20;34;18;148;13;19
136;Gore;III;M;126;25,5;18;9;159;208;90;40;22;120;23;26
137;Gore;III;M;147,5;40;23;15;149;279;90;50;18;160;21;15
138;Gore;III;M;131;25,5;18,2;7;144;250;15;33;20;100;12;72
139;Gore;III;M;133;44;23,5;27;191;318;40;60;18;140;10;0
140;Gore;IV;Z;143;33,5;19;11;120;211;90;47;27;126;34;29
141;Gore;IV;Z;153;54,5;23;25;136;260;90;60;28;110;27;4
142;Gore;IV;Z;157;49;23;19;140;293;90;30;23;100;28;3
143;Gore;IV;Z;144;37,5;20;11;154;212;90;41;28;130;34;14
144;Gore;IV;Z;148;38;20,3;11;134;230;90;50;29;140;30;30
145;Gore;IV;Z;138;37;22;19;143;160;90;80;26;130;13;5
146;Gore;IV;Z;136;34;21;23;131;230;35;63;22;130;18;5
147;Gore;IV;Z;145;36;20,5;10;135;240;50;73;26;120;16;18
148;Gore;IV;Z;145;34;21;12;120;205;90;62;31;160;20;64
149;Gore;IV;M;147;36;21,2;8;134;180;90;55;30;170;31;120
150;Gore;IV;M;142;30;20;9;149;140;90;55;28;160;20;55
151;Gore;IV;M;146;31;19,7;5;121;132;40;65;30;200;27;120
152;Gore;IV;M;141;36;20,7;8;113;120;90;80;28;190;37;120
153;Gore;IV;M;136;50;25;24;124;190;10;80;30;140;17;2
154;Gore;IV;M;142;39;22;13;125;210;15;51;27;130;16;40
155;Gore;IV;M;149;52;24;23;143;255;50;68;27;140;15;3
